Time (s),Temp (C),RH (%), v (m/s),,,
9.16E-03,24.9982605,60.0614891,1.23E-02,,,
1.83E-02,25.0043945,60.0438423,1.57E-02,,,
2.75E-02,25.0101929,60.0273132,1.20E-02,,,
3.67E-02,25.0111694,60.0244751,1.44E-02,,,
4.58E-02,25.0128479,60.0195656,1.40E-02,,,
5.50E-02,25.012085,60.0218124,1.47E-02,,,
6.42E-02,25.0083923,60.0322075,1.03E-02,,,
7.34E-02,25.0114136,60.0237427,1.39E-02,,,
8.25E-02,25.0018921,60.0509834,6.71E-03,,,
9.17E-02,25.0011292,60.0532951,1.47E-02,,,
0.100846045,25.0021362,60.050415,1.78E-02,,,
0.109997027,24.9963989,60.0667496,2.61E-03,,,
0.119136818,24.9935608,60.0749359,1.63E-02,,,
0.128270686,24.9943237,60.0727539,1.10E-02,,,
0.137410909,24.9920654,60.0794029,1.48E-02,,,
0.146552384,24.9971924,60.0644951,9.64E-03,,,
0.155689999,24.992157,60.078968,1.53E-02,,,
0.164820284,24.9906616,60.083271,3.84E-03,,,
0.173942715,24.9963684,60.0668564,1.33E-02,,,
0.18306078,24.9981689,60.0617828,1.78E-02,,,
0.192185193,25.0050659,60.0420532,2.11E-03,,,
0.201314211,25.0061646,60.0387993,5.75E-03,,,
0.210445866,25.0096436,60.0288506,1.37E-02,,,
0.219579726,25.0085144,60.0319786,3.65E-03,,,
0.22871758,25.0144043,60.0152016,5.88E-03,,,
0.237855434,25.0101624,60.0272408,4.94E-03,,,
0.246991053,25.0086975,60.0314751,6.24E-03,,,
0.256118208,25.0034485,60.0465775,1.12E-02,,,
0.265242577,25.0012207,60.0528831,1.27E-02,,,
0.274369478,24.9979248,60.0624008,9.96E-03,,,
0.283487499,24.9956665,60.0689354,6.11E-03,,,
0.292581797,25.0011597,60.0531578,1.39E-02,,,
0.301668257,24.9940491,60.073513,5.24E-03,,,
0.31074509,25.0001221,60.0560913,4.71E-03,,,
0.319828212,25.0050659,60.0419922,1.47E-02,,,
0.328938037,25.0003052,60.0556374,1.05E-02,,,
0.338047117,24.9967651,60.0658607,2.02E-03,,,
0.347162396,25.0058289,60.039711,7.05E-03,,,
0.356280029,25.0064392,60.0379219,4.67E-03,,,
0.365387499,25.0079651,60.03368,1.02E-02,,,
0.374486238,25.0039368,60.0452347,5.77E-03,,,
0.383586258,25.0066833,60.0373611,8.46E-03,,,
0.392697304,25.0115356,60.0233498,7.90E-03,,,
0.401792616,25.0105896,60.0260735,4.87E-03,,,
0.41088745,25.0030518,60.0478592,5.01E-03,,,
0.419999957,25.0028076,60.0484314,4.43E-03,,,
