Time (s),T (C),RH,v (m/s)
0.00916,24.9850464,60.1021881,0.01203728
0.0183,24.9942932,60.0757179,0.01576151
0.0275,24.999115,60.0617218,0.014000629
0.0367,25.0046387,60.0458603,0.014425047
0.0458,25.0108948,60.0279503,0.014691552
0.055,25.0042114,60.0469818,0.004796172
0.0642,25.0067139,60.0397644,0.006528398
0.0734,25.0056152,60.043232,0.013857152
0.0825,25.003479,60.0491638,0.008381336
0.0917,24.9911194,60.0847549,0.020758345
0.100846045,24.9983826,60.0638161,0.026657255
0.109997027,24.9891357,60.0904579,0.015693835
0.119136818,24.9858093,60.0999489,0.003769759
0.128270686,24.9877625,60.0944099,0.0305585
0.137410909,24.9809875,60.1138344,0.002984807
0.146552384,24.9867249,60.0973892,0.019280153
0.155689999,24.9891052,60.0905113,0.019267786
0.164820284,24.9942322,60.0757179,0.009293085
0.173942715,24.9888611,60.0912819,0.009838617
0.18306078,24.9976196,60.0660515,0.021890979
0.192185193,24.9960632,60.0705376,0.007488688
0.201314211,25.0036011,60.0489845,0.005888263
0.210445866,24.9985657,60.0632133,0.009102267
0.219579726,25.0007935,60.0569077,0.005812558
0.22871758,24.9996033,60.0603333,0.012869122
0.237855434,24.9959106,60.0710945,0.007154377
0.246991053,25.000946,60.0564003,0.007412169
0.256118208,24.9950562,60.0734291,0.008053366
0.265242577,24.9933472,60.0783043,0.006975154
0.274369478,24.9962158,60.0700684,0.00955638
0.283487499,24.9932861,60.0784645,0.00454413
0.292581797,24.9896545,60.0889931,0.001184155
0.301668257,24.9968262,60.0682793,0.011925191
0.31074509,24.9907532,60.0857506,0.012771175
0.319828212,24.9919739,60.0823174,0.006949974
0.328938037,24.9920959,60.0819244,0.005574717
0.338047117,24.9978333,60.0654602,0.011073566
0.347162396,24.9973145,60.0669136,0.004580824
0.356280029,24.9998474,60.0596848,0.007637431
0.365387499,24.9971313,60.0674133,0.01056386
0.374486238,25.0009766,60.0564537,0.009553747
0.383586258,24.9994507,60.0607681,0.005186667
0.392697304,24.9949646,60.0737686,0.011465967
0.401792616,24.996521,60.0691681,0.001815068
0.41088745,24.9941406,60.0760155,0.001077036
0.419999957,24.9958496,60.0710945,0.010442398
0.429084033,24.9951172,60.0732155,0.008134617
0.43812269,24.9993591,60.0609856,0.004908853
0.447143167,24.9975891,60.0660934,0.001175885
0.456165075,24.9936523,60.077446,0.010357748
0.465188712,24.9942932,60.0756149,0.004793043
0.474219054,24.994812,60.0740852,0.00607867
0.483253509,24.9946289,60.0745621,0.007796445
0.492292613,24.9965515,60.0691452,0.004920196
0.501315415,24.9972839,60.0669937,0.004283967
0.510335922,24.9983521,60.0639267,0.015081106
0.519349098,24.9979248,60.0652237,0.003479296
0.528351963,24.9960632,60.0704918,0.003152163
0.537332058,24.9948425,60.0740356,0.005884464
0.546293616,24.9965515,60.0691299,0.003900223
0.555246532,24.9996948,60.0601006,0.000574645
0.564223409,24.9960938,60.0704422,0.008128605
0.573243678,24.9997864,60.0597916,0.003765756
0.582313061,24.994812,60.0741692,0.002053862
0.591374874,24.9961243,60.0704079,0.005449169
0.600432277,24.9942322,60.0757713,0.005408529
0.609510422,24.9960327,60.0705452,0.004199076
0.618597507,24.9959717,60.070755,0.005094013
0.627687693,24.9970703,60.0675812,0.006260328
0.636748374,24.9932861,60.0785484,0.003595913
0.645759404,24.9942017,60.0758438,0.004727948
0.654726267,24.9937134,60.0772095,0.002712632
0.663684726,24.996582,60.0690384,0.007352531
0.672652543,24.9937744,60.0770531,0.004438397
0.681618512,24.9966431,60.0688095,0.006495075
0.690573454,24.9946899,60.0744705,0.004119712
0.699532747,24.9969482,60.0679474,0.006580877
0.708469868,24.9971008,60.0674973,0.007907842
0.717393696,24.9975891,60.0661049,0.004928246
0.726320207,24.9984436,60.0636902,0.001709716
0.735264361,24.9972229,60.0672379,0.009943872
0.744226813,24.9980164,60.0648956,0.003592098
0.753194869,24.995697,60.0715523,0.002144542
0.762123168,24.9962158,60.0700302,0.008624056
0.771021783,24.9954529,60.0722656,0.001131608
0.779953182,24.9957581,60.0714188,0.003147671
0.788864851,24.9945984,60.0747719,0.006617716
0.797776103,24.9944763,60.0750923,0.004546501
0.80670476,24.9957581,60.0713272,0.004223383
0.815635979,24.9973145,60.0669098,0.004246557
0.824576914,24.996521,60.0691299,0.001693642
0.833525717,24.9963379,60.0696983,0.002296939
0.842442334,24.99646,60.0694199,0.00657192
0.851339698,24.9975281,60.066288,0.006009496
0.860209227,24.9949036,60.073822,0.007211935
0.869086266,24.9970398,60.0677147,0.003814029
0.877958417,24.9967346,60.0685844,0.007962092
0.886821747,24.999115,60.0617599,0.005294183
0.895729184,24.9971924,60.0672607,9.15E-05
0.904603601,24.996521,60.0692101,0.00479969
0.913499892,24.9978027,60.065506,0.002316723
0.922481835,24.9959717,60.0707703,0.002232352
0.931472898,24.9967651,60.0684891,0.005748754
0.940425217,24.9955139,60.072094,0.002027793
0.949365735,24.9974976,60.066391,0.003767
0.958303571,24.9942017,60.0758057,0.002864684
0.967216671,24.997467,60.0664558,0.002566286
0.976150095,24.9968872,60.0681,0.001649911
0.985135853,24.9959412,60.0708656,0.00201097
0.994118333,24.994873,60.0739403,0.004913938
1.00308895,24.9953613,60.0724831,0.003479785
1.01205218,24.995697,60.0715714,0.003306967
1.02101779,24.9949951,60.0735741,0.001365355
1.02998114,24.995636,60.0717316,0.006924518
1.03894782,24.9949646,60.0736618,0.002077747
1.04790461,24.9942017,60.0758362,0.004002307
1.05684721,24.9945984,60.0746994,0.003770453
1.06579626,24.9938354,60.0769234,0.002875941
1.07475674,24.9958191,60.0712357,0.000899381
1.0837096,24.9954529,60.0722389,0.003421752
1.09266627,24.9945374,60.0748825,0.0052529
1.10163534,24.9949951,60.0735664,0.002723602
1.11059964,24.995697,60.0715561,0.001272444
1.11958361,24.9975891,60.0661201,0.004701127
1.12859786,24.9971313,60.06744,0.003868811
1.13758028,24.9985657,60.0633163,0.00256502
1.14653707,24.9968872,60.0681648,0.003665145
1.15548396,24.9962463,60.0699959,0.003537733
1.16442609,24.9962769,60.0699425,0.002860452
1.17336738,24.9978943,60.0652466,0.003397328
1.18231106,24.996582,60.0690079,0.003057192
1.19127464,24.9969788,60.067894,0.00182267
1.20022655,24.9962769,60.0698814,0.002687949
1.20916152,24.9969482,60.0679398,0.002820358
1.21809137,24.9947815,60.074173,0.005024868
1.22699308,24.9953003,60.0726967,0.005529715
1.23584604,24.9962769,60.0698929,0.001643274
1.24472237,24.9959106,60.0709572,0.007028403
1.25367367,24.995575,60.0719452,0.005558722
1.26265287,24.9959106,60.0709457,0.004814751
1.27162468,24.9951782,60.0730362,0.005962802
1.28053415,24.9961548,60.07024,0.00391813
1.28938806,24.9953613,60.0724983,0.002496806
1.29818845,24.9962463,60.070015,0.001171338
1.30695117,24.9960327,60.070591,0.002018885
1.31575179,24.9959106,60.0709305,0.003382373
1.32464457,24.9965515,60.0691261,0.002628392
1.33351707,24.9967041,60.0686378,0.000795743
1.34239614,24.9967346,60.0685997,0.001521305
1.35132432,24.9960632,60.0705338,0.002149854
1.36028636,24.9967346,60.0686417,0.002471959
1.36924112,24.9967957,60.0684166,0.001319129
1.37817955,24.9971619,60.0673561,0.002849254
1.38712299,24.9976807,60.0658531,0.002311656
1.39608145,24.9966736,60.0687752,0.00242066
1.40500283,24.9958801,60.0710373,0.004276896
1.41390657,24.9972839,60.0670052,0.000747161
1.42282069,24.9976807,60.0658646,0.003096628
1.43178582,24.9959717,60.0707932,0.004652678
1.4407177,24.9957581,60.0714073,0.001227598
1.44960451,24.9963684,60.069622,0.003120796
1.45848072,24.9967346,60.0685844,0.001812784
1.46736312,24.9981995,60.0643883,0.002019901
1.47626531,24.9959412,60.0708466,0.001417261
1.48520017,24.9970398,60.0677185,0.001602307
1.49417698,24.9979858,60.0649719,0.003125475
1.50316489,24.9968567,60.0682487,0.002417466
1.51216626,24.9988708,60.0624275,0.002343846
1.52116287,24.9978333,60.0654716,0.003928641
1.53017581,24.9977722,60.0655785,0.004750557
1.53918076,24.9976501,60.0659485,0.002868539
1.54817796,24.9968262,60.0682983,0.004851566
1.5571785,24.9967957,60.0684166,0.003223148
1.5661751,24.9954224,60.072319,0.001745136
1.57518768,24.9962158,60.0700684,0.004302448
1.58421063,24.9968262,60.0683289,0.003384647
1.59322143,24.9963989,60.0695381,0.00294497
1.60221875,24.9959412,60.0708618,0.001178374
1.61121988,24.9960938,60.0704384,0.004533255
1.62022626,24.9953003,60.0726891,0.000854652
1.62920058,24.9960327,60.070591,0.000625134
1.63820946,24.9962158,60.0700455,0.002886784
1.64719594,24.9986267,60.0631409,0.002914632
1.65617788,24.9966736,60.0687675,0.001642426
1.66515338,24.9975586,60.0662422,0.002005566
1.67409277,24.9980469,60.0648117,0.001175493
1.68301499,24.9972839,60.067009,0.002780123
1.69190407,24.9975891,60.0661087,0.002267963
1.7007513,24.9979248,60.065155,0.003017009
1.70961237,24.9973145,60.0669022,0.000556134
1.71853352,24.9969177,60.068058,0.004236843
1.72748017,24.9967651,60.06847,0.003296915
1.73643577,24.9967651,60.068512,0.004131679
1.74541712,24.9971313,60.0674133,0.002654695
1.7543968,24.99646,60.0693512,0.002205219
1.76334453,24.9971619,60.0673256,0.004258609
1.77223694,24.9968567,60.0682259,0.000933508
1.7811085,24.9968872,60.068119,0.001957173
1.79000485,24.9974365,60.0665436,0.000786805
1.79892027,24.9967041,60.0686264,0.000872957
1.80785525,24.9976196,60.0660515,0.000583987
1.81682622,24.9968262,60.0682983,0.001121588
1.82581532,24.9977722,60.0656319,0.002622252
1.83478093,24.9967651,60.0684776,0.002491966
1.84375167,24.9960022,60.070694,0.002711695
1.85270989,24.9961548,60.0702515,0.002839962
1.86165679,24.9957581,60.0713654,0.001045673
1.87058806,24.9967041,60.0686493,0.002928282
1.87951612,24.9952087,60.0729446,0.001305255
1.88847601,24.9960022,60.070694,0.004014715
1.89744878,24.9961243,60.0703163,0.002159531
1.90644634,24.9964905,60.0692749,0.002440279
1.91544342,24.9968872,60.068161,0.00156836
1.92442429,24.9963684,60.0696449,0.000817022
1.93337214,24.9973755,60.0667076,0.000601926
1.94230497,24.9968567,60.0682678,0.001063118
1.95120561,24.9972839,60.067009,0.001298633
1.96011853,24.9977722,60.0656166,0.001680925
1.96900523,24.9969788,60.0678787,0.003106145
1.97784722,24.9974365,60.0665588,0.001336345
1.98668635,24.9975281,60.0663109,0.001513245
1.99553478,24.9970703,60.0676308,0.003633563
2.00439167,24.9962769,60.0698929,0.001097196
2.01326752,24.9964905,60.0692825,0.002866533
2.0221808,24.9962463,60.069973,0.003401338
2.03116512,24.9967651,60.06847,0.000443091
2.0401361,24.9960938,60.0704193,0.003729745
2.04907322,24.9961853,60.0701447,0.002132444
2.05803013,24.9963379,60.0697212,0.00253215
2.06701088,24.995575,60.0719223,0.002160801
2.07601714,24.9963379,60.0696869,0.003410727
2.08500814,24.9968262,60.0682678,0.001874033
